"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Harbour","On Bounty","Brie","-","4.18%","Scruffy",5885
"Harbour","On Bounty","Brie","-","3.65%","Spotted",5885
"Harbour","On Bounty","Brie","-","3.45%","White",5885
"Harbour","On Bounty","Brie","-","2.89%","Grey",5885
"Harbour","On Bounty","Brie","-","2.74%","Brown",5885
"Harbour","On Bounty","Brie","-","2.14%","Diamond",5885
"Harbour","On Bounty","Brie","-","2.12%","Pugilist",5885
"Harbour","On Bounty","Brie","-","2.11%","Steel",5885
"Harbour","On Bounty","Brie","-","2.02%","Granite",5885
"Harbour","On Bounty","Brie","-","1.78%","Bionic",5885
"Harbour","On Bounty","Brie","-","1.70%","Gold",5885
"Harbour","On Bounty","Swiss","-","11.58%","Dashing Buccaneer",1157
"Harbour","On Bounty","Swiss","-","11.58%","Barmy Gunner",1157
"Harbour","On Bounty","Swiss","-","10.89%","Pirate",1157
"Harbour","On Bounty","Swiss","-","10.54%","Bilged Boatswain",1157
"Harbour","On Bounty","Swiss","-","10.29%","Corrupt Commodore",1157
"Harbour","On Bounty","Swiss","-","9.85%","Cabin Boy",1157
"Harbour","On Bounty","Swiss","-","4.24%","Dwarf",1157
"Harbour","On Bounty","Swiss","-","4.15%","Scruffy",1157
"Harbour","On Bounty","Swiss","-","3.46%","Spotted",1157
"Harbour","On Bounty","Swiss","-","3.03%","Steel",1157
"Harbour","On Bounty","Swiss","-","3.03%","Pugilist",1157
"Harbour","On Bounty","Swiss","-","2.77%","Granite",1157
"Harbour","On Bounty","Swiss","-","2.68%","Bionic",1157
"Harbour","On Bounty","Swiss","-","2.59%","White",1157
"Harbour","On Bounty","Swiss","-","2.51%","Brown",1157
"Harbour","On Bounty","Swiss","-","2.51%","Grey",1157
"Harbour","On Bounty","Swiss","-","2.33%","Diamond",1157
"Harbour","On Bounty","Swiss","-","1.99%","Gold",1157
"Harbour","On Bounty","Marble","-","11.88%","Dashing Buccaneer",303
"Harbour","On Bounty","Marble","-","10.56%","Cabin Boy",303
"Harbour","On Bounty","Marble","-","10.23%","Bilged Boatswain",303
"Harbour","On Bounty","Marble","-","9.90%","Barmy Gunner",303
"Harbour","On Bounty","Marble","-","9.90%","Pirate",303
"Harbour","On Bounty","Marble","-","8.58%","Corrupt Commodore",303
"Harbour","On Bounty","Marble","-","4.95%","Spotted",303
