"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Toxic Spill","Baron/Baroness","Rancid Radioactive Blue","-","4.06%","Spore",8596
"Toxic Spill","Baron/Baroness","Rancid Radioactive Blue","-","3.99%","Bog Beast",8596
"Toxic Spill","Baron/Baroness","Rancid Radioactive Blue","-","3.79%","Mutated Siblings",8596
"Toxic Spill","Baron/Baroness","Rancid Radioactive Blue","-","1.27%","Swamp Runner",8596
"Toxic Spill","Baron/Baroness","Rancid Radioactive Blue","-","1.11%","Sludge",8596
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","16.36%","Plague Hag",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","7.44%","Biohazard",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","7.24%","Sludge Soaker",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","6.98%","Outbreak Assassin",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","6.31%","Slimefist",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","6.21%","Toxic Warrior",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","6.01%","Telekinetic Mutant",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","6.01%","Sludge Swimmer",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","5.97%","The Menace",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","5.81%","Tentacle",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","5.77%","Mutant Ninja",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","5.74%","Scrap Metal Monster",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","5.51%","Mutant Mongrel",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","1.50%","Swamp Runner",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","1.40%","Sludge",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","1.23%","Mutated Siblings",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","1.20%","Bog Beast",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","1.17%","Monster Tail",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","1.03%","Spore",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","1.00%","Gelatinous Octahedron",2996
"Toxic Spill","Baron/Baroness","Magical Rancid Radioactive Blue","-","0.10%","Glitchpaw",2996
"Toxic Spill","Count/Countess","Rancid Radioactive Blue","-","15.03%","Plague Hag",14696
"Toxic Spill","Count/Countess","Rancid Radioactive Blue","-","14.70%","Sludge Soaker",14696
"Toxic Spill","Count/Countess","Rancid Radioactive Blue","-","13.17%","Biohazard",14696
"Toxic Spill","Count/Countess","Rancid Radioactive Blue","-","12.77%","Tentacle",14696
"Toxic Spill","Count/Countess","Rancid Radioactive Blue","-","12.53%","Telekinetic Mutant",14696
"Toxic Spill","Count/Countess","Rancid Radioactive Blue","-","8.83%","Mutant Ninja",14696
"Toxic Spill","Count/Countess","Rancid Radioactive Blue","-","7.40%","Gelatinous Octahedron",14696
"Toxic Spill","Count/Countess","Rancid Radioactive Blue","-","6.20%","Scrap Metal Monster",14696
"Toxic Spill","Count/Countess","Rancid Radioactive Blue","-","2.33%","Monster Tail",14696
"Toxic Spill","Count/Countess","Rancid Radioactive Blue","-","2.13%","Bog Beast",14696
"Toxic Spill","Count/Countess","Rancid Radioactive Blue","-","1.34%","Mutated Siblings",14696
"Toxic Spill","Count/Countess","Rancid Radioactive Blue","-","1.25%","Swamp Runner",14696
"Toxic Spill","Count/Countess","Rancid Radioactive Blue","-","1.20%","Spore",14696
"Toxic Spill","Count/Countess","Rancid Radioactive Blue","-","1.12%","Sludge",14696
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","15.30%","Tentacle",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","14.20%","Telekinetic Mutant",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","12.20%","The Menace",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","8.35%","Biohazard",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","6.70%","Mutant Ninja",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","6.41%","Slimefist",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","6.29%","Outbreak Assassin",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","5.86%","Mutant Mongrel",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","5.82%","Toxic Warrior",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","5.75%","Sludge Swimmer",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","1.63%","Swamp Runner",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","1.36%","Sludge",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","1.36%","Plague Hag",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","1.34%","Gelatinous Octahedron",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","1.34%","Sludge Soaker",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","1.29%","Scrap Metal Monster",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","1.27%","Monster Tail",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","1.27%","Mutated Siblings",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","1.20%","Spore",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","0.95%","Bog Beast",4417
"Toxic Spill","Count/Countess","Magical Rancid Radioactive Blue","-","0.11%","Glitchpaw",4417
"Toxic Spill","Duke/Duchess","Rancid Radioactive Blue","-","16.42%","Toxic Warrior",15174
"Toxic Spill","Duke/Duchess","Rancid Radioactive Blue","-","13.83%","Slimefist",15174
"Toxic Spill","Duke/Duchess","Rancid Radioactive Blue","-","13.50%","Mutant Mongrel",15174
"Toxic Spill","Duke/Duchess","Rancid Radioactive Blue","-","13.40%","Outbreak Assassin",15174
"Toxic Spill","Duke/Duchess","Rancid Radioactive Blue","-","9.30%","Telekinetic Mutant",15174
"Toxic Spill","Duke/Duchess","Rancid Radioactive Blue","-","6.75%","Biohazard",15174
"Toxic Spill","Duke/Duchess","Rancid Radioactive Blue","-","5.83%","Plague Hag",15174
"Toxic Spill","Duke/Duchess","Rancid Radioactive Blue","-","5.60%","Tentacle",15174
"Toxic Spill","Duke/Duchess","Rancid Radioactive Blue","-","2.26%","Gelatinous Octahedron",15174
"Toxic Spill","Duke/Duchess","Rancid Radioactive Blue","-","2.23%","Mutant Ninja",15174
"Toxic Spill","Duke/Duchess","Rancid Radioactive Blue","-","2.19%","Scrap Metal Monster",15174
"Toxic Spill","Duke/Duchess","Rancid Radioactive Blue","-","2.03%","Sludge Soaker",15174
"Toxic Spill","Duke/Duchess","Rancid Radioactive Blue","-","1.15%","Spore",15174
"Toxic Spill","Duke/Duchess","Rancid Radioactive Blue","-","1.15%","Mutated Siblings",15174
"Toxic Spill","Duke/Duchess","Rancid Radioactive Blue","-","1.14%","Bog Beast",15174
"Toxic Spill","Duke/Duchess","Rancid Radioactive Blue","-","1.13%","Sludge",15174
"Toxic Spill","Duke/Duchess","Rancid Radioactive Blue","-","1.08%","Monster Tail",15174
"Toxic Spill","Duke/Duchess","Rancid Radioactive Blue","-","1.00%","Swamp Runner",15174
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","15.97%","Slimefist",4164
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","15.42%","Sludge Swimmer",4164
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","15.35%","The Menace",4164
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","14.96%","Mutant Mongrel",4164
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","11.48%","Outbreak Assassin",4164
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","10.30%","Toxic Warrior",4164
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","2.33%","Biohazard",4164
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","1.34%","Sludge",4164
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","1.32%","Monster Tail",4164
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","1.25%","Tentacle",4164
